-1
0.1	0.00015811
0.2 0.00056668
0.3 0.00125639
0.4 0.00227139
0.5 0.00379039
0.6 0.00643057
0.7 0.00972433
0.8 0.01318653
0.9 0.01896214
1.2 0.02992234
1.4 0.02790384
1.6 0.02563627
1.8 0.02371509
2.0 0.02302281
2.5 0.03051124
3.0 0.03416774
3.5 0.03956459
4.0 0.05146469
4.6 0.07148169
5.0 0.083724
6.0 0.13234415
7.0 0.19789855
8.0 0.33339775
9.0 0.57079574
10.0 0.72443389
10.198584962 0.782399812
10.325992953 0.671475925
10.923717831 0.587840777
11.419747388 0.623436957
11.623155281 0.498178748
11.828295877 0.499387366
12.086585824 0.456511479
12.538854914 0.408450997
13.301598261 0.390142991
13.479473514 0.421915164
14.121206992 0.427018827
14.857303461 0.414247257
16.671264944 0.443580103
16.847968119 0.427519625
17.255977368 0.485173641
18.466517335 0.418090824
20.117507283 0.599825726
21.219270475 0.717079249
22.998367165 0.871737432
25.328743082 1.097654701
26.912133142 1.277038697
27.687404508 1.279739962
30.545503175 1.384221925
32.687634428 1.177577619
34.748934245 0.889011594
37.915656693 0.623127304
40.811124880 0.420603534
48.374638075 0.559738115
51.022303451 0.582063951
72.336171170 0.450403252
91.501252684 0.035106644
108.758067883 0.013003589
183.408576015 0.005541692
277.369569097 0.003183142
392.355055020 0.005126238
525.356768586 0.007130608
525.824646000 0.008669754
526.555542000 0.008610632
527.287476000 0.008551915
528.020447000 0.008493598
528.754395000 0.008435680
529.489380000 0.008378155
530.225403000 0.008321024
530.962463000 0.008264283
531.700500000 0.008231383
532.439575000 0.008198952
533.179688000 0.008166653
533.920837000 0.008134483
534.663025000 0.008102439
535.406189000 0.008070526
536.150452000 0.008038737
536.895691000 0.008007076
537.642029000 0.007975539
538.389343000 0.007944129
539.137756000 0.007912840
539.887146000 0.007889452
540.637634000 0.007866949
541.389099000 0.007844510
542.141663000 0.007822136
542.895264000 0.007799827
543.649963000 0.007777579
544.405579000 0.007755400
545.162354000 0.007733280
545.920166000 0.007711225
546.679016000 0.007684795
547.438904000 0.007657721
548.199829000 0.007630743
548.961914000 0.007603857
549.724976000 0.007577067
550.489075000 0.007550375
551.254333000 0.007523774
552.020569000 0.007497267
552.787903000 0.007470854
553.556274000 0.007444537
554.325745000 0.007418309
555.096252000 0.007392371
555.867920000 0.007370019
556.640564000 0.007347738
557.414307000 0.007325523
558.189148000 0.007303377
558.965088000 0.007281295
559.742065000 0.007259282
560.520081000 0.007237339
561.299255000 0.007215456
562.079468000 0.007193644
562.860779000 0.007171896
563.643188000 0.007150215
564.426697000 0.007128586
565.211243000 0.007107018
565.996948000 0.007085513
566.783691000 0.007064075
567.571533000 0.007042703
568.360474000 0.007021393
569.150513000 0.007000150
569.941650000 0.006978971
570.733887000 0.006957854
571.527222000 0.006936084
572.321655000 0.006914242
573.117249000 0.006892467
573.913879000 0.006870761
574.711609000 0.006849126
575.510498000 0.006827557
576.310486000 0.006806056
577.111572000 0.006784623
577.913818000 0.006763258
578.717102000 0.006741960
579.521545000 0.006720729
580.327087000 0.006699477
581.133789000 0.006678074
581.941589000 0.006656742
582.750488000 0.006635479
583.560547000 0.006614281
584.371704000 0.006593153
585.184021000 0.006572090
585.997437000 0.006551096
586.812012000 0.006530169
587.627686000 0.006509308
588.444519000 0.006488515
589.262451000 0.006467787
590.081604000 0.006446895
590.901794000 0.006425992
591.723145000 0.006405156
592.545715000 0.006384385
593.369385000 0.006363683
594.194153000 0.006343048
595.020081000 0.006322480
595.847229000 0.006301977
596.675476000 0.006281541
597.504883000 0.006261172
598.335449000 0.006240868
599.167114000 0.006219076
600.000000000 0.006190560
600.487732000 0.006173939
600.975830000 0.006157365
601.464417000 0.006140831
601.953308000 0.006124345
602.442627000 0.006107902
602.932312000 0.006091504
603.422424000 0.006075150
603.912964000 0.006058839
604.403931000 0.006042571
604.895203000 0.006026349
605.386902000 0.006010169
605.879028000 0.005994032
606.371521000 0.005977941
606.864441000 0.005961887
607.357788000 0.005945878
607.851440000 0.005929917
608.345581000 0.005913996
608.840088000 0.005898161
609.335022000 0.005882482
609.830322000 0.005866846
610.326050000 0.005851250
610.822205000 0.005835696
611.318726000 0.005820183
611.815674000 0.005804713
612.312988000 0.005789284
612.810730000 0.005773894
613.308838000 0.005758548
613.807373000 0.005743241
614.306335000 0.005727976
614.805725000 0.005712750
615.305481000 0.005697565
615.805664000 0.005682418
616.306274000 0.005667314
616.807251000 0.005652251
617.308594000 0.005637227
617.810425000 0.005622244
618.312622000 0.005607300
618.815247000 0.005595168
619.318298000 0.005585482
619.821716000 0.005575814
620.325562000 0.005566162
620.829834000 0.005556526
621.334412000 0.005546909
621.839539000 0.005537306
622.345032000 0.005527722
622.850891000 0.005518154
623.357239000 0.005508601
623.863953000 0.005499066
624.371033000 0.005489548
624.878601000 0.005480047
625.386597000 0.005470560
625.894958000 0.005461092
626.403748000 0.005451638
626.912903000 0.005442203
627.422546000 0.005432783
627.932495000 0.005423383
628.442993000 0.005413994
628.953857000 0.005403948
629.465088000 0.005393740
629.976807000 0.005383549
630.488892000 0.005373379
631.001404000 0.005363227
631.514282000 0.005353096
632.027649000 0.005342983
632.541443000 0.005332888
633.055603000 0.005322814
633.570251000 0.005312758
634.085205000 0.005302722
634.600708000 0.005292703
635.116577000 0.005282703
635.632812000 0.005272725
636.149536000 0.005262763
636.666626000 0.005252821
637.184143000 0.005242898
637.702148000 0.005232992
638.220520000 0.005223107
638.739319000 0.005213196
639.258545000 0.005202285
639.778137000 0.005191397
640.298218000 0.005180531
